##BLOCKS= 1          
Plate:	Plate#1	1.3	TimeFormat	FLEX	Fluorescence	TRUE	Reduced	FALSE	61	300	5				2	510 510	1	6	96	340 380	Automatic	495 495			6	Medium			1	8	TimeTags	
	Temperature(¡C)	A1T	A1	A2T	A2	A3T	A3	A4T	A4	A5T	A5	A6T	A6	A7T	A7	A8T	A8	A9T	A9	A10T	A10	A11T	A11	A12T	A12	B1T	B1	B2T	B2	B3T	B3	B4T	B4	B5T	B5	B6T	B6	B7T	B7	B8T	B8	B9T	B9	B10T	B10	B11T	B11	B12T	B12	C1T	C1	C2T	C2	C3T	C3	C4T	C4	C5T	C5	C6T	C6	C7T	C7	C8T	C8	C9T	C9	C10T	C10	C11T	C11	C12T	C12	D1T	D1	D2T	D2	D3T	D3	D4T	D4	D5T	D5	D6T	D6	D7T	D7	D8T	D8	D9T	D9	D10T	D10	D11T	D11	D12T	D12	E1T	E1	E2T	E2	E3T	E3	E4T	E4	E5T	E5	E6T	E6	E7T	E7	E8T	E8	E9T	E9	E10T	E10	E11T	E11	E12T	E12	F1T	F1	F2T	F2	F3T	F3	F4T	F4	F5T	F5	F6T	F6	F7T	F7	F8T	F8	F9T	F9	F10T	F10	F11T	F11	F12T	F12	G1T	G1	G2T	G2	G3T	G3	G4T	G4	G5T	G5	G6T	G6	G7T	G7	G8T	G8	G9T	G9	G10T	G10	G11T	G11	G12T	G12	H1T	H1	H2T	H2	H3T	H3	H4T	H4	H5T	H5	H6T	H6	H7T	H7	H8T	H8	H9T	H9	H10T	H10	H11T	H11	H12T	H12	
	24.03	50.0918	1.559478	50.9508	1.368359	50.9104	1.451134	50.8808	1.231444	50.814	1.316124	50.819	1.2196													50.2454	1.655337	51.1556	1.474833	51.1152	1.391028	51.0344	1.224829	50.9676	1.250354	50.9726	1.18724													50.399	1.554043	51.3092	1.416672	51.2688	1.324421	51.188	1.261454	51.1212	1.228289	51.1262	1.202509													50.5526	1.588215	51.4628	1.339787	51.3712	1.305366	51.3416	1.241832	51.2748	1.214033	51.2798	1.176073													50.7062	1.110248	51.6164	1.335004	51.5248	1.333371	51.4952	1.254945	51.4284	1.237111	51.4334	1.160549													50.8598	1.582007	51.77	1.424743	51.6784	1.396908	51.6488	1.264034	51.582	1.248309	51.587	1.162409													51.0134	1.537682	51.9236	1.499015	51.8832	1.315717	51.8024	1.230673	51.7356	1.255976	51.7406	1.189975													51.167	1.56586	52.026	1.452194	51.9856	1.349266	51.956	1.308526	51.8892	1.231694	51.8942	1.185092													
	24.03	55.0582	1.548803	55.9684	1.319173	55.928	1.440203	55.8984	1.207561	55.8316	1.320476	55.7854	1.214893													55.263	1.614793	56.122	1.476257	56.0816	1.411668	56.052	1.242871	55.9852	1.247825	55.939	1.18596													55.3654	1.569304	56.2756	1.404947	56.2352	1.348603	56.2056	1.2705	56.1388	1.233528	56.0926	1.179664													55.519	1.531267	56.4292	1.388498	56.3888	1.327926	56.3592	1.239038	56.2924	1.249697	56.2462	1.195554													55.6726	1.121182	56.5828	1.398733	56.5424	1.325662	56.5128	1.255011	56.446	1.255374	56.3998	1.174215													55.8262	1.586953	56.7364	1.41772	56.696	1.354967	56.6664	1.282021	56.5996	1.245498	56.5534	1.185118													56.031	1.51366	56.89	1.508666	56.8496	1.376254	56.82	1.251684	56.7532	1.281073	56.707	1.162335													56.1846	1.519261	57.0436	1.440894	57.0032	1.327574	56.9736	1.30716	56.9068	1.232089	56.8606	1.204746													
	24.03	60.127	1.304443	60.986	1.226434	60.9456	1.266564	60.916	1.046418	60.798	1.115387	60.803	1.066587													60.2806	1.286412	61.1396	1.293246	61.0992	1.202542	61.0184	1.048852	61.0028	1.055773	60.9566	0.994489													60.4342	1.378487	61.2932	1.208004	61.2528	1.143768	61.172	1.050371	61.1564	1.031975	61.1102	1.048481													60.5878	1.039126	61.4468	1.137397	61.4064	1.077055	61.3768	0.910016	61.31	1.033142	61.2638	0.943471													60.7414	1.074612	61.6004	1.106938	61.56	1.038959	61.4792	0.950296	61.4636	0.989314	61.4174	0.931333													60.895	1.549568	61.7028	1.11163	61.7136	1.048026	61.6328	1.12984	61.6172	1.165853	61.571	1.065452													61.0486	1.531839	61.8564	1.211837	61.8672	1.108625	61.7864	1.023633	61.7708	1.174457	61.7246	1.120306													61.2022	1.547399	62.0612	1.210959	62.0208	1.035054	61.94	1.011371	61.8732	1.041043	61.8782	1.013255													
	24.03	65.0934	1.579735	65.9524	1.743674	65.912	1.521526	65.8824	1.312985	65.8668	1.374952	65.7694	1.279379													65.247	2.092567	66.106	2.442415	66.0656	2.440664	66.036	2.545437	65.9692	2.620793	65.923	2.495009													65.4006	2.152186	66.2596	2.539623	66.2192	2.477821	66.1896	2.641313	66.1228	2.727939	66.0766	2.609959													65.5542	2.154975	66.4132	2.640228	66.3728	2.70623	66.3432	2.913069	66.2764	2.883855	66.2302	2.938231													65.7078	2.364852	66.618	2.233276	66.5264	1.936272	66.4968	1.912271	66.43	2.009024	66.3838	2.123791													65.9126	1.756285	66.7716	1.645727	66.68	1.467597	66.6504	1.284535	66.5836	1.356213	66.5374	1.319579													66.0662	1.472469	66.874	1.404332	66.8336	1.240939	66.804	1.206615	66.7372	1.25286	66.691	1.159437													66.2198	1.343316	67.0276	1.326459	66.9872	1.205251	66.9576	1.193233	66.8908	1.184864	66.8446	1.13													
	24.03	70.111	1.5983	70.97	1.53205	70.9296	1.464206	70.9	1.261173	70.8332	1.303562	70.787	1.217087													70.2646	2.799918	71.1236	2.850891	71.0832	2.81352	71.0536	2.889524	70.9868	2.960577	70.9406	2.958795													70.4182	2.870573	71.2772	2.876915	71.2368	2.842694	71.2072	3.017671	71.1404	3.150695	71.0942	3.036291													70.5718	2.704732	71.4308	2.857847	71.3904	2.960192	71.3608	3.118755	71.294	3.143411	71.2478	3.128489													70.7254	1.546171	71.5844	2.804096	71.544	2.726259	71.5144	2.769774	71.4476	2.753346	71.4014	2.785523													70.879	2.597261	71.738	2.254065	71.6976	2.136015	71.668	1.756135	71.6012	1.700127	71.555	1.760088													71.0326	1.933577	71.8916	1.777649	71.8512	1.517355	71.8216	1.492078	71.7548	1.507331	71.7086	1.386817													71.1862	1.69859	72.0452	1.566381	72.0048	1.408975	71.9752	1.320682	71.9084	1.271146	71.8622	1.201057													
	24.03	75.1286	1.579128	75.9876	1.535538	75.9472	1.461836	75.8664	1.24686	75.8508	1.334252	75.8046	1.2094													75.231	2.769386	76.1412	2.791579	76.1008	2.824012	76.02	2.914328	76.0044	2.907006	75.9582	2.972579													75.4358	2.775619	76.2948	2.799721	76.2544	2.736727	76.1736	2.885492	76.158	2.972021	76.1118	2.922397													75.5894	2.705827	76.4484	2.706481	76.408	2.862452	76.3272	2.949957	76.3116	3.009192	76.2654	2.933264													75.743	1.446321	76.602	2.809697	76.5104	2.787512	76.4808	2.803825	76.4652	2.762178	76.419	2.702399													75.8454	2.645174	76.7556	2.367415	76.664	2.17196	76.6344	1.855321	76.6188	1.846979	76.5726	1.845835													75.999	2.134306	76.9092	1.839233	76.8688	1.546552	76.788	1.455673	76.7724	1.514393	76.7262	1.440519													76.1526	1.836214	77.0628	1.605022	77.0224	1.457031	76.9416	1.336666	76.926	1.278914	76.8798	1.221286													
	24.03	80.095	1.563616	80.954	1.561993	80.9136	1.476163	80.884	1.234085	80.8172	1.341338	80.771	1.232682													80.2486	2.789498	81.1076	2.73388	81.0672	2.710517	81.0376	2.852818	80.9708	2.869548	80.9246	2.89833													80.4022	2.631284	81.2612	2.598167	81.2208	2.693027	81.1912	2.874318	81.1244	2.808493	81.0782	2.77087													80.5558	2.62209	81.4148	2.65995	81.3744	2.636742	81.3448	2.718322	81.278	2.891876	81.2318	2.863393													80.7094	1.401313	81.5684	2.672777	81.528	2.623309	81.4984	2.713993	81.4316	2.747025	81.3854	2.826219													80.863	2.605171	81.722	2.335067	81.6816	2.258941	81.652	1.890188	81.5852	1.871191	81.539	1.937082													81.0166	2.039575	81.8756	1.887227	81.8352	1.624489	81.8056	1.514041	81.7388	1.550205	81.6926	1.436449													81.1702	1.853443	82.0292	1.563264	81.9888	1.459639	81.9592	1.313311	81.8924	1.307078	81.8462	1.225495													
	24.03	85.1126	1.513634	85.9716	1.53489	85.9312	1.479839	85.8504	1.235125	85.8348	1.325715	85.7886	1.226202													85.2662	2.675573	86.1252	2.664861	86.0848	2.740282	86.004	2.743028	85.9884	2.7474	85.9422	2.812388													85.4198	2.565229	86.2788	2.572606	86.2384	2.577573	86.1576	2.644729	86.142	2.635622	86.0958	2.621786													85.5734	2.540246	86.3812	2.568554	86.392	2.516192	86.3624	2.563508	86.2956	2.669678	86.2494	2.681228													85.727	1.368137	86.5348	2.533607	86.5456	2.566227	86.516	2.65544	86.4492	2.591914	86.403	2.555431													85.8806	2.566077	86.6884	2.34016	86.6992	2.266654	86.6184	1.925715	86.6028	1.831354	86.5566	1.997834													86.0342	2.151591	86.842	1.837194	86.8528	1.544961	86.772	1.464207	86.7564	1.495238	86.7102	1.437265													86.1878	1.869609	86.9956	1.599141	87.0064	1.469691	86.9256	1.313064	86.91	1.288944	86.8638	1.227926													
	24.03	90.1302	1.530778	90.938	1.572991	90.9488	1.470937	90.9192	1.265259	90.8524	1.289012	90.8062	1.224883													90.2326	2.555332	91.0916	2.576892	91.1024	2.667657	91.0728	2.680222	90.9548	2.705403	90.9598	2.75321													90.3862	2.428429	91.2452	2.407753	91.256	2.419536	91.1752	2.50796	91.1084	2.509837	91.1134	2.523557													90.591	2.560694	91.3988	2.509445	91.4096	2.459994	91.3288	2.487394	91.3132	2.539733	91.267	2.588303													90.6934	1.309708	91.5524	2.450547	91.5632	2.460146	91.4824	2.534378	91.4668	2.43262	91.4206	2.461292													90.8982	2.544622	91.706	2.277826	91.7168	2.200173	91.6872	1.852734	91.6204	1.872193	91.5742	1.929831													91.0518	2.099061	91.8596	1.832964	91.8704	1.581838	91.8408	1.503394	91.774	1.553089	91.7278	1.450609													91.2054	1.825162	92.0132	1.548506	92.024	1.454518	91.9944	1.321493	91.9276	1.262586	91.8814	1.187544													
	24.03	95.0966	1.567416	96.0068	1.572599	95.9664	1.457378	95.8856	1.25587	95.8188	1.303134	95.7726	1.21847													95.2502	2.621634	96.1604	2.576629	96.12	2.611733	96.0392	2.54388	95.9724	2.677846	95.9262	2.607844													95.4038	2.327079	96.314	2.349323	96.2736	2.402412	96.1928	2.388083	96.126	2.444922	96.0798	2.404423													95.5574	2.500316	96.4676	2.44728	96.4272	2.457457	96.3464	2.358296	96.2796	2.52192	96.2334	2.491686													95.711	1.308605	96.6212	2.31999	96.5808	2.424387	96.5	2.443972	96.4332	2.446039	96.387	2.356917													95.8646	2.373356	96.7236	2.228438	96.7344	2.212701	96.6536	1.853693	96.5868	1.816912	96.5406	1.969111													96.0182	2.131898	96.8772	1.813621	96.888	1.551603	96.8072	1.533564	96.7404	1.473137	96.6942	1.477861													96.1718	1.801877	97.0308	1.573791	97.0416	1.513697	96.9608	1.300133	96.894	1.303203	96.8478	1.223452													
